MM,DD,YY,HRI_AverageTemp,HRI_MaxTemp,HRI_TempDifference,Samples_per_day
1,30,2005,2.6354166666666665,3.04,0.4045833333333335,48
1,30,2008,3.68,3.68,0,48
1,30,2009,2.8432708333333334,3.274,0.4307291666666666,48
1,30,2010,3.1470833333333332,3.42,0.2729166666666667,48
1,30,2012,5.8756458333333335,6,0.12435416666666654,48
1,30,2013,4.822395833333333,4.947,0.12460416666666685,48
1,30,2014,3.0954166666666665,3.327,0.23158333333333347,48
1,30,2015,4.270291666666667,5.205,0.934708333333333,48
1,30,2016,5.154520833333334,5.36,0.20547916666666666,48
1,31,2000,1.7816666666666667,2.54,0.7583333333333333,48
1,31,2002,5.221041666666666,5.6,0.3789583333333333,48
1,31,2005,2.4433333333333334,2.72,0.27666666666666684,48
1,31,2008,3.58625,3.68,0.09375,48
1,31,2009,2.930229166666667,3.168,0.23777083333333326,48
1,31,2010,2.6354166666666665,3.12,0.4845833333333336,48
1,31,2012,5.8505416666666665,6.077,0.22645833333333343,48
1,31,2013,4.957645833333333,5.076,0.11835416666666632,48
1,31,2014,3.365666666666667,3.459,0.09333333333333327,48
1,31,2015,3.5862083333333334,4.194,0.6077916666666665,48
1,31,2016,5.353041666666667,5.591,0.23795833333333327,48
2,1,2000,2.106666666666667,2.38,0.273333333333333,48
2,1,2002,4.846666666666667,5.13,0.2833333333333332,48
2,1,2005,2.1266666666666665,2.25,0.12333333333333352,48
2,1,2008,3.64875,3.68,0.03125,48
2,1,2009,3.1216458333333335,3.354,0.23235416666666664,48
2,1,2010,2.5425,2.83,0.2875000000000001,48
2,1,2012,5.8878125,6.026,0.1381874999999999,48
2,1,2013,4.891479166666667,5.05,0.15852083333333322,48
2,1,2014,3.2947083333333333,3.406,0.11129166666666679,48
2,1,2015,3.5078958333333334,4.168,0.6601041666666667,48
2,1,2016,5.321729166666667,5.693,0.371270833333333,48
2,2,2000,2.511875,2.69,0.1781250000000001,48
2,2,2002,5.005208333333333,5.6,0.5947916666666666,48
2,2,2005,2.07,2.25,0.18000000000000016,48
2,2,2008,3.6612500000000003,3.68,0.018749999999999822,48
2,2,2009,3.1392708333333332,3.195,0.05572916666666661,48
2,2,2010,2.58,2.83,0.25,48
2,2,2012,5.811645833333333,6.026,0.2143541666666664,48
2,2,2013,4.7205,4.792,0.07149999999999945,48
2,2,2014,3.324375,3.459,0.13462500000000022,48
2,2,2015,3.4886041666666667,3.775,0.2863958333333332,48
2,2,2016,5.387791666666667,5.745,0.35720833333333335,48
2,3,2000,2.0064583333333332,2.54,0.5335416666666668,48
2,3,2002,4.9191666666666665,5.28,0.3608333333333338,48
2,3,2005,2.2795833333333335,2.56,0.28041666666666654,48
2,3,2008,3.58625,3.68,0.09375,48
2,3,2009,2.995041666666667,3.142,0.14695833333333308,48
2,3,2010,2.655,2.83,0.17500000000000027,48
2,3,2012,5.613458333333333,6,0.386541666666667,48
2,3,2013,4.605666666666667,4.818,0.2123333333333326,48
2,3,2014,3.2853541666666666,3.406,0.12064583333333356,48
2,3,2015,3.3870416666666667,3.564,0.17695833333333333,48
2,3,2016,5.589625,5.872,0.28237500000000004,48
2,4,2000,2.236666666666667,2.38,0.1433333333333331,48
2,4,2002,4.9799999999999995,5.13,0.15000000000000036,48
2,4,2005,2.298125,2.56,0.26187499999999986,48
2,4,2008,3.44875,3.68,0.23125000000000018,48
2,4,2009,2.7900833333333335,2.956,0.1659166666666665,48
2,4,2010,2.3285416666666667,2.53,0.20145833333333307,48
2,4,2012,5.709770833333334,6.077,0.3672291666666663,48
2,4,2013,4.1576458333333335,4.35,0.19235416666666616,48
2,4,2014,3.1412916666666666,3.301,0.15970833333333356,48
2,4,2015,2.7527291666666667,3.142,0.38927083333333323,48
2,4,2016,5.830666666666667,6.23,0.39933333333333376,48
2,5,2000,2.1966666666666668,2.54,0.34333333333333327,48
2,5,2002,4.811041666666666,5.13,0.3189583333333337,48
2,5,2005,2.4064583333333336,2.72,0.3135416666666666,48
2,5,2008,3.5175,3.68,0.1625000000000001,48
2,5,2009,2.583645833333333,2.744,0.16035416666666702,48
2,5,2010,2.150625,2.53,0.379375,48
2,5,2012,5.4874583333333335,5.591,0.10354166666666664,48
2,5,2013,4.452729166666667,4.766,0.31327083333333317,48
2,5,2014,2.8959375,3.116,0.22006250000000005,48
2,5,2015,2.95275,3.274,0.32125000000000004,48
2,5,2016,5.5812083333333335,6.077,0.4957916666666664,48
